Generation 1430
-2.5513152906189815 -4.060263381560382 -16.38577805937646 -2.1674633428837424 -0.5474455153196136 -0.8097696388611836 -4.7857142119386635 -0.1988762543584145 -4.6667429623556105 | 4415.0
-2.2322011116450575 -7.449884706642696 -16.38577805937646 -2.1674633428837424 -0.5474455153196136 0.13654833194902483 -4.7857142119386635 -0.1988762543584145 -4.6667429623556105 | 4350.0
-2.5513152906189815 -5.8449711154730375 -16.20651426087815 -1.939763319270785 -0.5474455153196136 0.13654833194902483 -4.7857142119386635 -0.1988762543584145 -4.6667429623556105 | 4320.0
-3.0752774775342453 -4.060263381560382 -16.62165886851931 -2.1674633428837424 -0.5474455153196136 -1.1402069503570305 -3.306540892790837 -1.0975925579185426 -4.6667429623556105 | 4206.0
-3.0752774775342453 -7.449884706642696 -16.38577805937646 -1.939763319270785 -0.5474455153196136 0.13654833194902483 -4.7857142119386635 -0.1988762543584145 -5.860327984101572 | 4057.0
-3.0752774775342453 -6.058648414834768 -16.20651426087815 -1.1487259345392142 -0.5474455153196136 -0.8876238343902885 -4.7857142119386635 -0.1988762543584145 -4.6667429623556105 | 3942.0
-3.0752774775342453 -6.058648414834768 -16.38577805937646 -2.1674633428837424 -0.5474455153196136 0.13654833194902483 -4.7857142119386635 -0.1988762543584145 -4.6667429623556105 | 3915.0
-2.5513152906189815 -4.060263381560382 -16.38577805937646 -1.939763319270785 -0.5474455153196136 0.13654833194902483 -6.789103523085899 -1.0975925579185426 -4.6667429623556105 | 3757.0
-2.2322011116450575 -7.449884706642696 -16.38577805937646 -2.1674633428837424 -0.5474455153196136 0.13654833194902483 -4.7857142119386635 -0.1988762543584145 -4.6667429623556105 | 3683.0
-3.079854632964414 -6.058648414834768 -16.38577805937646 -1.3206664487188116 -0.5474455153196136 0.13654833194902483 -4.7857142119386635 -0.1988762543584145 -4.6667429623556105 | 3651.0
-3.079854632964414 -7.449884706642696 -16.38577805937646 -2.1674633428837424 -0.5474455153196136 -1.1402069503570305 -4.7857142119386635 -0.1988762543584145 -5.860327984101572 | 3614.0
-2.5513152906189815 -5.239525863493336 -16.38577805937646 -2.1674633428837424 -0.5474455153196136 -1.1402069503570305 -4.7857142119386635 -0.1988762543584145 -7.136217177275804 | 3566.0
-2.5513152906189815 -6.058648414834768 -16.38577805937646 -1.939763319270785 -0.5474455153196136 -0.8097696388611836 -4.7857142119386635 -0.1988762543584145 -5.860327984101572 | 3446.0
-2.5513152906189815 -6.826149068095956 -16.62165886851931 -1.939763319270785 -0.7011062117755961 -0.8097696388611836 -4.7857142119386635 -0.36342677092258685 -4.291089713449458 | 3436.0
-2.5513152906189815 -6.058648414834768 -16.62165886851931 -2.1674633428837424 -0.5474455153196136 -0.8097696388611836 -4.7857142119386635 -0.1988762543584145 -4.6667429623556105 | 3364.0
-3.079854632964414 -4.060263381560382 -16.62165886851931 -1.939763319270785 -0.5474455153196136 -0.8097696388611836 -4.7857142119386635 -0.36342677092258685 -4.6667429623556105 | 3125.0
-2.5513152906189815 -5.21720080017498 -16.62165886851931 -1.939763319270785 -0.5474455153196136 -1.1402069503570305 -4.7857142119386635 -0.36342677092258685 -4.6667429623556105 | 3074.0
-2.2322011116450575 -7.449884706642696 -16.62165886851931 -2.1674633428837424 -0.5474455153196136 0.13654833194902483 -4.7857142119386635 -0.36342677092258685 -7.136217177275804 | 2966.0
-3.0752774775342453 -6.058648414834768 -16.38577805937646 -1.3206664487188116 -0.5474455153196136 -0.8876238343902885 -4.7857142119386635 -0.1988762543584145 -4.6667429623556105 | 2865.0
-2.5513152906189815 -4.060263381560382 -16.38577805937646 -1.939763319270785 -0.5474455153196136 0.13654833194902483 -6.789103523085899 -0.1988762543584145 -4.6667429623556105 | 2837.0
-3.0752774775342453 -7.449884706642696 -16.62165886851931 -1.939763319270785 -0.5474455153196136 -1.1402069503570305 -3.306540892790837 -0.36342677092258685 -4.291089713449458 | 2748.0
-2.5513152906189815 -7.449884706642696 -16.38577805937646 -2.1674633428837424 -0.5474455153196136 0.13654833194902483 -4.7857142119386635 -0.1988762543584145 -4.6667429623556105 | 2586.0
-3.0752774775342453 -4.060263381560382 -16.62165886851931 -1.939763319270785 -0.5474455153196136 0.13654833194902483 -4.7857142119386635 -0.1988762543584145 -4.6667429623556105 | 2576.0
-3.0752774775342453 -5.8449711154730375 -16.38577805937646 -1.939763319270785 -0.5474455153196136 0.13654833194902483 -4.7857142119386635 -0.1988762543584145 -5.860327984101572 | 2502.0
-2.5513152906189815 -4.060263381560382 -16.38577805937646 -2.1674633428837424 -0.5474455153196136 -0.8097696388611836 -4.7857142119386635 -0.1988762543584145 -4.6667429623556105 | 2398.0
-3.0752774775342453 -7.449884706642696 -16.62165886851931 -1.939763319270785 -0.5474455153196136 -1.1402069503570305 -3.306540892790837 -1.0975925579185426 -4.291089713449458 | 2368.0
-3.0752774775342453 -7.449884706642696 -16.38577805937646 -1.939763319270785 -0.5474455153196136 0.13654833194902483 -6.789103523085899 -1.0975925579185426 -4.6667429623556105 | 2211.0
