Generation 155
2.1791766928027414 -7.422799927477456 -14.683031320262405 -3.3761833930646996 -3.9279597246579976 -2.9433155823699924 -1.8811785559862122 -11.610396320707682 -9.110121322698102 | 433.0
2.1791766928027414 -7.422799927477456 -14.683031320262405 -1.2121764324057436 -3.9279597246579976 -2.9433155823699924 -2.41801011363068 -9.85327864662733 -9.241127918429168 | 432.0
2.1791766928027414 -7.422799927477456 -16.10253314987656 -1.2127701609905994 -3.4848888377350646 -2.9433155823699924 -1.8811785559862122 -10.0191723390482 -9.241127918429168 | 382.0
2.1791766928027414 -7.422799927477456 -16.10253314987656 -1.2127701609905994 -3.9279597246579976 -2.9433155823699924 -2.41801011363068 -10.0191723390482 -9.241127918429168 | 367.0
2.1791766928027414 -5.940814580585854 -14.683031320262405 -1.2127701609905994 -4.222957904231512 -2.9433155823699924 -1.8811785559862122 -9.85327864662733 -9.110121322698102 | 356.0
2.1791766928027414 -5.940814580585854 -16.10253314987656 -1.2127701609905994 -4.222957904231512 -2.9433155823699924 -0.8625275952190357 -12.526489719352998 -10.314937376929999 | 328.0
2.1791766928027414 -7.422799927477456 -16.10253314987656 -1.2127701609905994 -3.4848888377350646 -2.9433155823699924 -1.8811785559862122 -10.0191723390482 -9.241127918429168 | 326.0
2.1791766928027414 -7.422799927477456 -16.10253314987656 -1.2127701609905994 -4.222957904231512 -2.9433155823699924 -1.8811785559862122 -11.610396320707682 -9.241127918429168 | 326.0
2.1791766928027414 -5.940814580585854 -16.10253314987656 -1.2127701609905994 -4.222957904231512 -2.9433155823699924 -1.8811785559862122 -12.526489719352998 -9.110121322698102 | 324.0
2.1791766928027414 -7.422799927477456 -14.683031320262405 -1.2127701609905994 -3.4848888377350646 -2.9433155823699924 -1.8811785559862122 -10.0191723390482 -9.241127918429168 | 320.0
2.1791766928027414 -7.422799927477456 -14.683031320262405 -0.33632442149992536 -3.9279597246579976 -2.9433155823699924 -2.41801011363068 -11.610396320707682 -9.241127918429168 | 294.0
2.909975008511465 -5.940814580585854 -14.683031320262405 -1.2127701609905994 -3.9279597246579976 -2.9433155823699924 -1.8811785559862122 -11.610396320707682 -9.241127918429168 | 293.0
2.1791766928027414 -7.422799927477456 -16.10253314987656 -1.2127701609905994 -3.9279597246579976 -2.9433155823699924 -2.41801011363068 -11.610396320707682 -9.241127918429168 | 290.0
2.1791766928027414 -7.422799927477456 -14.683031320262405 -1.2127701609905994 -3.4848888377350646 -2.9433155823699924 -1.8811785559862122 -10.0191723390482 -9.241127918429168 | 284.0
2.1791766928027414 -7.271650480201128 -14.683031320262405 -1.2121764324057436 -3.9279597246579976 -2.9433155823699924 -1.8811785559862122 -11.610396320707682 -9.241127918429168 | 278.0
2.1791766928027414 -7.500539761114561 -16.10253314987656 -1.2127701609905994 -3.9279597246579976 -2.9433155823699924 -1.8811785559862122 -10.497660612387339 -7.058698672789963 | 273.0
2.1791766928027414 -7.422799927477456 -16.10253314987656 -0.9138736616056651 -3.9279597246579976 -2.9433155823699924 -1.8811785559862122 -10.0191723390482 -10.314937376929999 | 272.0
2.1791766928027414 -5.940814580585854 -14.683031320262405 -1.2121764324057436 -3.9279597246579976 -2.9433155823699924 -1.8811785559862122 -11.610396320707682 -10.314937376929999 | 264.0
2.1791766928027414 -7.422799927477456 -17.506843774390067 -1.2127701609905994 -4.222957904231512 -2.9433155823699924 -1.8811785559862122 -12.526489719352998 -9.241127918429168 | 262.0
2.1791766928027414 -5.940814580585854 -17.506843774390067 -0.9138736616056651 -4.222957904231512 -2.9433155823699924 -1.8811785559862122 -10.0191723390482 -9.241127918429168 | 246.0
2.1791766928027414 -8.912291520754 -17.506843774390067 -1.2121764324057436 -3.9279597246579976 -2.9433155823699924 -1.8811785559862122 -10.0191723390482 -10.314937376929999 | 218.0
2.909975008511465 -7.422799927477456 -14.683031320262405 -1.2121764324057436 -3.9279597246579976 -2.9433155823699924 -2.41801011363068 -9.85327864662733 -9.241127918429168 | 217.0
2.1791766928027414 -5.940814580585854 -17.506843774390067 -1.2121764324057436 -4.222957904231512 -2.9433155823699924 -1.8811785559862122 -11.610396320707682 -9.241127918429168 | 208.0
2.1791766928027414 -5.940814580585854 -14.683031320262405 -1.2127701609905994 -3.9279597246579976 -2.9433155823699924 -1.8811785559862122 -11.610396320707682 -10.314937376929999 | 204.0
